Sick_Lv1_Code,Sick_Lv1_Reason,Sick_Lv1_Description,Sick_Lv2_Code,Sick_Lv2_Reason,Sick_Lv2_Description,reason_short
S22,S22 Dental and oral problems,Dental and oral problems,(blank,(blank),,dental
S22,S22 Dental and oral problems,Dental and oral problems,S22001,S22001 Dental problems,Dental problems,dental
S22,S22 Dental and oral problems,Dental and oral problems,S22002,S22002 Broken/chipped tooth,Broken/chipped tooth,dental
S22,S22 Dental and oral problems,Dental and oral problems,S22003,S22003 Dental abscess,Dental abscess,dental
S22,S22 Dental and oral problems,Dental and oral problems,S22004,S22004 Mouth infection,Mouth infection,dental
S22,S22 Dental and oral problems,Dental and oral problems,S22005,S22005 Mouth ulcer,Mouth ulcer,dental
S22,S22 Dental and oral problems,Dental and oral problems,S22006,S22006 Tooth ache,Tooth ache,dental
S22,S22 Dental and oral problems,Dental and oral problems,S22007,S22007 Tooth extraction,Tooth extraction,dental
S22,S22 Dental and oral problems,Dental and oral problems,S22998,S22998 Other dental and oral problems,Other dental and oral problems,dental
S22,S22 Dental and oral problems,Dental and oral problems,S22999,S22999 Not specified,Not specified,dental
S23,S23 Eye problems,Eye problems,(blank,(blank),,eye
S23,S23 Eye problems,Eye problems,S23001,S23001 Blurred vision,Blurred vision,eye
S23,S23 Eye problems,Eye problems,S23002,S23002 Cataract,Cataract,eye
S23,S23 Eye problems,Eye problems,S23003,S23003 Conjunctivitis,Conjunctivitis,eye
S23,S23 Eye problems,Eye problems,S23004,S23004 Detached retina,Detached retina,eye
S23,S23 Eye problems,Eye problems,S23005,S23005 Double vision,Double vision,eye
S23,S23 Eye problems,Eye problems,S23006,S23006 Eye strain,Eye strain,eye
S23,S23 Eye problems,Eye problems,S23007,S23007 Glaucoma,Glaucoma,eye
S23,S23 Eye problems,Eye problems,S23008,S23008 Keratitis,Keratitis,eye
S23,S23 Eye problems,Eye problems,S23009,S23009 Tunnel vision,Tunnel vision,eye
S23,S23 Eye problems,Eye problems,S23998,S23998 Other eye problems,Other eye problems,eye
S23,S23 Eye problems,Eye problems,S23999,S23999 Not specified,Not specified,eye
S24,S24 Endocrine / glandular problems,Endocrine / glandular problems,(blank,(blank),,endocrine
S24,S24 Endocrine / glandular problems,Endocrine / glandular problems,S24001,S24001 Adrenal disorders,Adrenal disorders,endocrine
S24,S24 Endocrine / glandular problems,Endocrine / glandular problems,S24002,S24002 Cystic fibrosis,Cystic fibrosis,endocrine
S24,S24 Endocrine / glandular problems,Endocrine / glandular problems,S24003,S24003 Diabetes - Insulin dependent,Diabetes - Insulin dependent,endocrine
S24,S24 Endocrine / glandular problems,Endocrine / glandular problems,S24004,S24004 Diabetes - non-insulin dependent,Diabetes - non-insulin dependent,endocrine
S24,S24 Endocrine / glandular problems,Endocrine / glandular problems,S24005,S24005 Parathyroid disorders,Parathyroid disorders,endocrine
S24,S24 Endocrine / glandular problems,Endocrine / glandular problems,S24006,S24006 Pituitary gland disorders,Pituitary gland disorders,endocrine
S24,S24 Endocrine / glandular problems,Endocrine / glandular problems,S24007,S24007 Thyroid disorders,Thyroid disorders,endocrine
S24,S24 Endocrine / glandular problems,Endocrine / glandular problems,S24998,S24998 Other endocrine disorders,Other endocrine disorders,endocrine
S24,S24 Endocrine / glandular problems,Endocrine / glandular problems,S24999,S24999 Not specified,Not specified,endocrine
S25,S25 Gastrointestinal problems,Gastrointestinal problems,(blank,(blank),,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25001,S25001 Abdominal pain,Abdominal pain,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25002,S25002 Appendicitis,Appendicitis,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25003,S25003 Cirrhosis of the liver,Cirrhosis of the liver,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25004,S25004 Coeliac disease,Coeliac disease,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25005,S25005 Colitis,Colitis,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25006,S25006 Constipation,Constipation,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25007,S25007 Crohn's disease,Crohn's disease,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25008,S25008 Diarrhoea,Diarrhoea,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25009,S25009 Diverticulitis,Diverticulitis,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25010,S25010 Duodenal ulcer,Duodenal ulcer,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25011,S25011 Food allergy,Food allergy,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25012,S25012 Gall bladder disease,Gall bladder disease,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25013,S25013 Gastric ulcer,Gastric ulcer,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25014,S25014 Gastro-intestinal disorder,Gastro-intestinal disorder,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25015,S25015 Gastroenteritis,Gastroenteritis,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25016,S25016 Hiatus hernia,Hiatus hernia,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25017,S25017 Inflammatory bowel syndrome,Inflammatory bowel syndrome,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25018,S25018 Irritable bowel syndrome,Irritable bowel syndrome,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25019,S25019 Lactose intolerance,Lactose intolerance,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25020,S25020 Liver disease,Liver disease,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25021,S25021 Malnutrition,Malnutrition,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25022,S25022 Oesophagitis,Oesophagitis,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25023,S25023 Pancreatitis,Pancreatitis,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25024,S25024 Peptic ulcer,Peptic ulcer,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25025,S25025 Stomach ache,Stomach ache,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25026,S25026 Ulcerative colitis,Ulcerative colitis,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25027,S25027 Upset stomach,Upset stomach,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25028,S25028 Vomiting,Vomiting,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25998,S25998 Other gastrointestinal problems,Other gastrointestinal problems,gastro
S25,S25 Gastrointestinal problems,Gastrointestinal problems,S25999,S25999 Not specified,Not specified,gastro
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,(blank,(blank),,gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26001,S26001 Epididymitis (M only),Epididymitis (M only),gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26002,S26002 Orchitis (M only),Orchitis (M only),gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26003,S26003 Prostatic (prostrate) problems (M only),Prostatic (prostrate) problems (M only),gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26004,S26004 Testicular problems (M only),Testicular problems (M only),gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26005,S26005 Cervical problems (F only),Cervical problems (F only),gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26006,S26006 Endometriosis (F only),Endometriosis (F only),gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26007,S26007 Fibroids (F only),Fibroids (F only),gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26008,S26008 Hysterectomy (F only),Hysterectomy (F only),gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26009,S26009 Uterine problems (F only),Uterine problems (F only),gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26010,S26010 Vaginal problems (F only),Vaginal problems (F only),gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26011,S26011 Menstrual problems (F only),Menstrual problems (F only),gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26012,S26012 Pelvic inflammatory disease (F only),Pelvic inflammatory disease (F only),gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26013,S26013 Problems with fallopian tubes (F only),Problems with fallopian tubes (F only),gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26014,S26014 Ovarian problems (F only),Ovarian problems (F only),gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26015,S26015 Bladder infection,Bladder infection,gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26016,S26016 Cystitis,Cystitis,gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26017,S26017 Kidney stones,Kidney stones,gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26018,S26018 Kidney failure,Kidney failure,gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26019,S26019 Mastitis,Mastitis,gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26020,S26020 Sexually transmitted (venereal) disease (STD),Sexually transmitted (venereal) disease (STD),gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26021,S26021 Urinary obstruction,Urinary obstruction,gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26022,S26022 Urinary tract infection,Urinary tract infection,gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26023,S26023 Uterine problems (F only),Uterine problems (F only),gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26024,S26024 Vaginal problems (F only),Vaginal problems (F only),gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26998,S26998 Other genitourinary or gynaecological problems,Other genitourinary or gynaecological problems,gynaecological
S26,S26 Genitourinary & gynaecological disorders,Genitourinary & gynaecological disorders,S26999,S26999 Not specified,Not specified,gynaecological
S27,S27 Infectious diseases,Infectious diseases,(blank,(blank),,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27001,S27001 Anthrax,Anthrax,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27002,S27002 Chickenpox,Chickenpox,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27003,S27003 Cholera,Cholera,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27004,S27004 Diphtheria,Diphtheria,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27005,S27005 E coli infection,E coli infection,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27006,S27006 Glandular fever,Glandular fever,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27007,S27007 Hepatitis A,Hepatitis A,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27008,S27008 Hepatitis B,Hepatitis B,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27009,S27009 Hepatitis C,Hepatitis C,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27010,S27010 Hepatitis E,Hepatitis E,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27011,S27011 HIV,HIV,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27012,S27012 Listeria,Listeria,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27013,S27013 Malaria,Malaria,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27014,S27014 Measles,Measles,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27015,S27015 Meningitis,Meningitis,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27016,S27016 Mumps,Mumps,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27017,S27017 Rubella (German measles),Rubella (German measles),infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27018,S27018 Salmonella,Salmonella,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27019,S27019 Scarlet fever,Scarlet fever,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27020,S27020 Shingles,Shingles,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27021,S27021 Tetanus,Tetanus,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27022,S27022 Trachoma,Trachoma,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27023,S27023 Tuberculosis,Tuberculosis,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27024,S27024 Typhoid fever,Typhoid fever,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27025,S27025 Typhus fever,Typhus fever,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27026,S27026 Whooping cough,Whooping cough,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27027,S27027 Yellow fever,Yellow fever,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27998,S27998 Other infectious disease,Other infectious disease,infectious_dis
S27,S27 Infectious diseases,Infectious diseases,S27999,S27999 Not specified,Not specified,infectious_dis
S28,"S28 Injury, fracture","Injury, fracture",(blank,(blank),,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28001,S28001 Animal bite,Animal bite,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28002,S28002 Broken arm,Broken arm,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28003,S28003 Broken back,Broken back,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28004,S28004 Broken finger,Broken finger,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28005,S28005 Broken foot,Broken foot,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28006,S28006 Broken leg,Broken leg,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28007,S28007 Broken toe,Broken toe,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28008,S28008 Complications of surgery,Complications of surgery,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28009,S28009 Cut,Cut,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28010,S28010 Dislocation,Dislocation,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28011,S28011 Electric shock,Electric shock,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28012,S28012 Fractured ankle,Fractured ankle,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28013,S28013 Fractured hip,Fractured hip,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28014,S28014 Fractured knee,Fractured knee,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28015,S28015 Fractured nose,Fractured nose,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28016,S28016 Fractured pelvis,Fractured pelvis,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28017,S28017 Fractured rib,Fractured rib,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28018,S28018 Fractured shoulder,Fractured shoulder,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28019,S28019 Fractured skull,Fractured skull,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28020,S28020 Fractured wrist,Fractured wrist,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28021,S28021 Injury to elbow or fore arm,Injury to elbow or fore arm,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28022,S28022 Injury to foot or ankle,Injury to foot or ankle,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28023,S28023 Injury to hip or thigh,Injury to hip or thigh,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28024,S28024 Injury to knee or lower leg,Injury to knee or lower leg,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28025,S28025 Injury to shoulder or upper arm,Injury to shoulder or upper arm,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28026,S28026 Injury to wrist or hand,Injury to wrist or hand,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28027,S28027 Insect bite,Insect bite,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28028,S28028 Laceration,Laceration,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28029,S28029 Sprain,Sprain,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28030,S28030 Strain,Strain,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28031,S28031 Whiplash,Whiplash,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28998,S28998 Other injury/fracture,Other injury/fracture,injury_fracture
S28,"S28 Injury, fracture","Injury, fracture",S28999,S28999 Not specified,Not specified,injury_fracture
S29,S29 Nervous system disorders,Nervous system disorders,(blank,(blank),,nervous_system
S29,S29 Nervous system disorders,Nervous system disorders,S29001,S29001 Alzheimer's disease,Alzheimer's disease,nervous_system
S29,S29 Nervous system disorders,Nervous system disorders,S29002,S29002 Dementia,Dementia,nervous_system
S29,S29 Nervous system disorders,Nervous system disorders,S29003,S29003 Epilepsy,Epilepsy,nervous_system
S29,S29 Nervous system disorders,Nervous system disorders,S29004,S29004 Huntington's disease,Huntington's disease,nervous_system
S29,S29 Nervous system disorders,Nervous system disorders,S29005,S29005 Motor Neuron Disease,Motor Neuron Disease,nervous_system
S29,S29 Nervous system disorders,Nervous system disorders,S29006,S29006 Multiple Sclerosis,Multiple Sclerosis,nervous_system
S29,S29 Nervous system disorders,Nervous system disorders,S29007,S29007 Muscular dystrophy,Muscular dystrophy,nervous_system
S29,S29 Nervous system disorders,Nervous system disorders,S29008,S29008 Parkinson's disease,Parkinson's disease,nervous_system
S29,S29 Nervous system disorders,Nervous system disorders,S29009,S29009 Sleep disorders,Sleep disorders,nervous_system
S29,S29 Nervous system disorders,Nervous system disorders,S29998,S29998 Other disorders of the nervous system,Other disorders of the nervous system,nervous_system
S29,S29 Nervous system disorders,Nervous system disorders,S29999,S29999 Not specified,Not specified,nervous_system
S30,S30 Pregnancy related disorders,Pregnancy related disorders,(blank,(blank),,pregnancy_related
S30,S30 Pregnancy related disorders,Pregnancy related disorders,S30001,S30001 Amniotic fluid disorders,Amniotic fluid disorders,pregnancy_related
S30,S30 Pregnancy related disorders,Pregnancy related disorders,S30002,S30002 Bladder infection,Bladder infection,pregnancy_related
S30,S30 Pregnancy related disorders,Pregnancy related disorders,S30003,S30003 Ectopic pregnancy,Ectopic pregnancy,pregnancy_related
S30,S30 Pregnancy related disorders,Pregnancy related disorders,S30004,S30004 Gestational diabetes,Gestational diabetes,pregnancy_related
S30,S30 Pregnancy related disorders,Pregnancy related disorders,S30005,S30005 Haemorrhaging,Haemorrhaging,pregnancy_related
S30,S30 Pregnancy related disorders,Pregnancy related disorders,S30006,S30006 Infection of urinary tract,Infection of urinary tract,pregnancy_related
S30,S30 Pregnancy related disorders,Pregnancy related disorders,S30007,S30007 Kidney infection,Kidney infection,pregnancy_related
S30,S30 Pregnancy related disorders,Pregnancy related disorders,S30008,S30008 Haemorrhaging,Haemorrhaging,pregnancy_related
S30,S30 Pregnancy related disorders,Pregnancy related disorders,S30009,S30009 Kidney infection,Kidney infection,pregnancy_related
S30,S30 Pregnancy related disorders,Pregnancy related disorders,S30010,S30010 Miscarriage,Miscarriage,pregnancy_related
S30,S30 Pregnancy related disorders,Pregnancy related disorders,S30011,S30011 Morning sickness,Morning sickness,pregnancy_related
S30,S30 Pregnancy related disorders,Pregnancy related disorders,S30012,S30012 Placental disorders,Placental disorders,pregnancy_related
S30,S30 Pregnancy related disorders,Pregnancy related disorders,S30013,S30013 Pre-eclampsia,Pre-eclampsia,pregnancy_related
S30,S30 Pregnancy related disorders,Pregnancy related disorders,S30998,S30998 Other pregnancy related conditions,Other pregnancy related conditions,pregnancy_related
S30,S30 Pregnancy related disorders,Pregnancy related disorders,S30999,S30999 Not specified,Not specified,pregnancy_related
S31,S31 Skin disorders,Skin disorders,(blank,(blank),,skin_disorders
S31,S31 Skin disorders,Skin disorders,S31001,S31001 Cellulitis,Cellulitis,skin_disorders
S31,S31 Skin disorders,Skin disorders,S31002,S31002 Contact dermatitis,Contact dermatitis,skin_disorders
S31,S31 Skin disorders,Skin disorders,S31003,S31003 Eczema,Eczema,skin_disorders
S31,S31 Skin disorders,Skin disorders,S31004,S31004 Hives,Hives,skin_disorders
S31,S31 Skin disorders,Skin disorders,S31005,S31005 Impetigo,Impetigo,skin_disorders
S31,S31 Skin disorders,Skin disorders,S31006,S31006 Pruritis,Pruritis,skin_disorders
S31,S31 Skin disorders,Skin disorders,S31007,S31007 Psoriasis,Psoriasis,skin_disorders
S31,S31 Skin disorders,Skin disorders,S31008,S31008 Ring worm,Ring worm,skin_disorders
S31,S31 Skin disorders,Skin disorders,S31009,S31009 Seborrhoea,Seborrhoea,skin_disorders
S31,S31 Skin disorders,Skin disorders,S31010,S31010 Skin allergy,Skin allergy,skin_disorders
S31,S31 Skin disorders,Skin disorders,S31011,S31011 Urticaria,Urticaria,skin_disorders
S31,S31 Skin disorders,Skin disorders,S31998,S31998 Other skin disorders,Other skin disorders,skin_disorders
S31,S31 Skin disorders,Skin disorders,S31999,S31999 Not specified,Not specified,skin_disorders
S32,S32 Substance abuse,Substance abuse,(blank,(blank),,substance_abus
S32,S32 Substance abuse,Substance abuse,S32001,S32001 Alcoholism,Alcoholism,substance_abus
S32,S32 Substance abuse,Substance abuse,S32002,S32002 Drug dependence,Drug dependence,substance_abus
S32,S32 Substance abuse,Substance abuse,S32998,S32998 Other substance abuse,Other substance abuse,substance_abus
S98,S98 Other known causes - not elsewhere classified,Other known causes - not elsewhere classified,(blank,(blank),,other
S99,S99 Unknown causes / Not specified,Unknown causes / Not specified,(blank,(blank),,unknown
